,SalePrice
206,98000
207,186000
208,252678
209,156000
210,161750
211,134450
212,210000
213,107000
214,311500
215,167240
216,204900
217,200000
218,179900
219,97000
220,386250
221,112000
222,290000
223,106000
224,125000
225,192500
226,148000
227,403000
228,94500
229,128200
230,216500
231,89500
232,185500
233,194500
234,318000
235,113000
236,262500
237,110500
238,79000
239,120000
240,205000
241,241500
242,137000
243,140000
244,180000
245,76500
246,235000
247,173000
248,158000
249,145000
250,230000
251,207500
252,220000
253,231500
254,97000
255,176000
256,276000
257,151000
258,130000
259,73000
260,175500
261,185000
262,179500
263,120500
264,148000
265,266000
266,241500
267,290000
268,139000
269,124500
270,205000
271,201000
272,141000
273,415298
274,192000
275,228500
276,185000
277,207500
278,244600
279,179200
280,164700
281,159000
282,88000
283,122000
284,153575
285,233230
286,135900
287,131000
288,235000
289,167000
290,142500
291,152000
292,175000
293,158500
294,157000
295,267000
296,205000
297,149900
298,295000
299,305900
300,225000
301,89500
302,82500
303,360000
304,165600
305,132000
306,119900
307,178000
308,188500
309,260000
310,270000
311,260000
312,187500
313,342643
314,354000
315,301000
316,126175
317,242000
318,87000
319,324000
320,145250
321,214500
322,78000
323,119000
324,139000
325,284000
326,207000
327,192000
328,377426
329,214000
330,202500
331,155000
332,202900
333,82000
334,87500
335,266000
336,85000
337,140200
338,151500
339,157500
340,154000
341,437154
342,318061
343,190000
344,95000
345,105900
346,140000
347,177500
348,173000
349,134000
350,130000
351,280000
352,156000
353,145000
354,198500
355,118000
356,190000
357,147000
358,159000
359,165000
360,132000
361,162000
362,172400
363,134432
364,125000
365,123000
366,219500
367,61000
368,148000
369,340000
370,394432
371,179000
372,127000
373,187750
374,213500
375,76000
376,240000
377,192000
378,81000
379,125000
380,191000
381,426000
382,119000
383,215000
384,106500
385,100000
386,109000
387,129000
388,123000
389,169500
390,67000
391,241000
392,245500
393,164990
394,108000
395,258000
396,168000
397,150000
398,115000
399,177000
400,280000
401,339750
402,60000
403,145000
404,222000
405,115000
406,228000
407,181134
408,149500
409,239000
410,126000
411,142000
412,206300
413,215000
414,113000
415,315000
416,139000
417,135000
418,275000
419,109008
420,195400
421,175000
422,85400
423,79900
424,122500
425,181000
426,81000
427,212000
428,116000
429,119000
430,90350
431,110000
432,555000
433,118000
434,162900
435,172500
436,210000
437,127500
438,190000
439,199900
440,119500
441,120000
442,110000
443,280000
444,204000
445,210000
446,188000
447,175500
448,98000
449,256000
450,161000
451,110000
452,263435
453,155000
454,62383
455,188700
456,124000
457,178740
458,167000
459,146500
460,250000
461,187000
462,212000
463,190000
464,148000
465,440000
466,251000
467,132500
468,208900
469,380000
470,297000
471,89471
472,326000
473,374000
474,155000
475,164000
476,132500
477,147000
478,156000
479,175000
480,160000
481,86000
482,115000
483,133000
484,172785
485,155000
486,91300
487,430000
488,184000
489,130000
490,120000
491,113000
492,226700
493,140000
494,289000
495,147000
496,124500
497,215000
498,208300
499,161000
500,124500
501,164900
502,202665
503,129900
504,134000
505,96500
506,402861
507,158000
508,265000
509,211000
510,234000
511,106250
512,150000
513,159000
514,315750
515,176000
516,132000
517,446261
518,86000
519,200624
520,175000
521,128000
522,107500
523,39300
524,178000
525,107500
526,188000
527,111250
528,158000
529,272000
530,315000
531,248000
532,213250
533,133000
534,179665
535,229000
536,210000
537,129500
538,125000
539,263000
540,140000
541,112500
542,255500
543,108000
544,284000
545,113000
546,141000
547,108000
548,175000
549,234000
550,121500
551,170000
552,108000
553,185000
554,268000
555,128000
556,325000
557,214000
558,316600
559,135960
560,142600
561,120000
562,224500
563,170000
564,139000
565,118500
566,145000
567,164500
568,146000
569,131500
570,181900
571,253293
572,118500
573,133000
574,369900
575,130000
576,137000
577,143000
578,79500
579,185900
580,451950
581,138000
582,140000
583,110000
584,319000
585,114504
586,194201
587,217500
588,151000
589,275000
590,141000
591,220000
592,151000
593,221000
594,205000
595,152000
596,225000
597,359100
598,118500
599,313000
600,148000
601,261500
602,147000
603,75500
604,137500
605,183200
606,105500
607,314813
608,305000
609,67000
610,240000
611,135000
612,168500
613,165150
614,160000
615,139900
616,153000
617,135000
618,168500
619,124000
620,209500
621,82500
622,139400
623,144000
624,200000
625,60000
626,93000
627,85000
628,264561
629,274000
630,226000
631,345000
632,152000
633,370878
634,143250
635,98300
636,155000
637,155000
638,84500
639,205950
640,108000
641,191000
642,135000
643,350000
644,88000
645,145500
646,149000
647,97500
648,167000
649,197900
650,402000
651,110000
652,137500
653,423000
654,230500
655,129000
656,193500
657,168000
658,137500
659,173500
660,103600
661,165000
662,257500
663,140000
664,148500
665,87000
666,109500
667,372500
668,128500
669,143000
670,159434
671,173000
672,285000
673,221000
674,207500
675,227875
676,148800
677,392000
678,194700
679,141000
680,335000
681,108480
682,141500
683,176000
684,89000
685,123500
686,138500
687,196000
688,312500
689,140000
690,361919
691,140000
692,213000
693,55000
694,254000
695,179540
696,109900
697,52000
698,102776
699,189000
700,129000
701,130500
702,165000
703,159500
704,157000
705,341000
706,128500
707,275000
708,143000
709,124500
710,135000
711,320000
712,120500
713,222000
714,194500
715,110000
716,103000
717,236500
718,187500
719,222500
720,131400
721,108000
722,163000
723,93500
724,239900
725,179000
726,190000
727,132000
728,142000
729,179000
730,175000
731,180000
732,299800
733,236000
734,265979
735,260400
736,98000
737,96500
738,162000
739,217000
740,275500
741,156000
742,172500
743,212000
744,158900
745,179400
746,290000
747,127500
748,100000
749,215200
750,337000
751,270000
752,264132
753,196500
754,160000
755,216837
756,538000
757,134900
758,102000
759,107000
760,114500
761,395000
762,162000
763,221500
764,142500
765,144000
766,135000
767,176000
768,175900
769,187100
770,165500
771,128000
772,161500
773,139000
774,233000
775,107900
776,187500
777,160200
778,146800
779,269790
780,225000
781,194500
782,171000
783,143500
784,110000
785,485000
786,175000
787,200000
788,109900
789,189000
790,582933
791,118000
792,227680
793,135500
794,223500
795,159950
796,106000
797,181000
798,144500
799,55993
800,157900
801,116000
802,224900
803,137000
804,271000
805,155000
806,224000
807,183000
808,93000
809,225000
810,139500
811,232600
812,385000
813,109500
814,189000
815,185000
816,147400
817,166000
818,151000
819,237000
820,167000
821,139950
822,128000
823,153500
824,100000
825,144000
826,130500
827,140000
828,157500
829,174900
830,141000
831,153900
832,171000
833,213000
834,133500
835,240000
836,187000
837,131500
838,215000
839,164000
840,158000
841,127000
842,147000
843,174000
844,152000
845,250000
846,189950
847,131500
848,152000
849,132500
850,250580
851,148500
852,248900
853,129000
854,169000
855,236000
856,109500
857,200500
858,116000
859,133000
860,66500
861,303477
862,132250
863,350000
864,148000
865,136500
866,157000
867,187500
868,178000
869,118500
870,100000
871,328900
872,145000
873,135500
874,268000
875,149500
876,122900
877,172500
878,154500
879,165000
880,118858
881,140000
882,106500
883,142953
884,611657
885,135000
886,110000
887,153000
888,180000
889,240000
890,125500
891,128000
892,255000
893,250000
894,131000
895,174000
896,154300
897,143500
898,88000
899,145000
900,173733
901,75000
902,35311
903,135000
904,238000
905,176500
906,201000
907,145900
908,169990
909,193000
910,207500
911,175000
912,285000
913,176000
914,236500
915,222000
916,201000
917,117500
918,320000
919,190000
920,79900
921,184900
922,253000
923,239799
924,244400
925,150900
926,214000
927,150000
928,143000
929,137500
930,124900
931,143000
932,270000
933,192500
934,197500
935,129000
936,119900
937,133900
938,172000
939,127500
940,145000
941,124000
942,132000
943,185000
944,155000
945,116500
946,272000
947,155000
948,239000
949,214900
950,178900
951,160000
952,135000
953,37900
954,140000
955,135000
956,173000
957,99500
958,182000
959,167500
960,165000
961,85500
962,199900
963,110000
964,139000
965,178400
966,336000
967,159895
968,255900
969,126000
970,125000
971,117000
972,395192
973,195000
974,197000
975,348000
976,168000
977,187000
978,173900
979,337500
980,121600
981,136500
982,185000
983,91000
984,206000
985,82000
986,86000
987,232000
988,136905
989,181000
990,149900
991,163500
992,88000
993,240000
994,102000
995,135000
996,100000
997,165000
998,85000
999,119200
1000,227000
1001,203000
1002,187500
1003,160000
1004,213490
1005,176000
1006,194000
1007,87000
1008,191000
1009,287000
1010,112500
1011,167500
1012,293077
1013,105000
1014,118000
1015,160000
1016,197000
1017,310000
1018,230000
1019,119750
1020,84000
1021,315500
1022,287000
1023,97000
1024,80000
1025,155000
1026,173000
1027,196000
1028,262280
1029,278000
1030,139600
1031,556581
1032,145000
1033,115000
1034,84900
1035,176485
1036,200141
1037,165000
1038,144500
1039,255000
1040,180000
1041,185850
1042,248000
1043,335000
1044,220000
1045,213500
1046,81000
1047,90000
1048,110500
1049,154000
1050,328000
1051,178000
1052,167900
1053,151400
1054,135000
1055,135000
1056,154000
1057,91500
1058,159500
1059,194000
1060,219500
1061,170000
1062,138800
1063,155900
1064,126000
1065,145000
1066,133000
1067,192000
1068,160000
1069,187500
1070,147000
1071,83500
1072,252000
1073,137500
1074,197000
1075,92900
1076,160000
1077,136500
1078,146000
1079,129000
1080,176432
1081,127000
1082,170000
1083,128000
1084,157000
1085,60000
1086,119500
1087,135000
1088,159500
1089,106000
1090,325000
1091,179900
1092,274725
1093,181000
1094,280000
1095,188000
1096,205000
1097,129900
1098,134500
1099,117000
1100,318000
1101,184100
1102,130000
1103,140000
1104,133700
1105,118400
1106,212900
1107,112000
1108,118000
1109,163900
1110,115000
1111,174000
1112,259000
1113,215000
1114,140000
1115,135000
1116,93500
1117,117500
1118,239500
1119,169000
1120,102000
1121,119000
1122,94000
1123,196000
1124,144000
1125,139000
1126,197500
1127,424870
1128,80000
1129,80000
1130,149000
1131,180000
1132,174500
1133,116900
1134,143000
1135,124000
1136,149900
1137,230000
1138,120500
1139,201800
1140,218000
1141,179900
1142,230000
1143,235128
1144,185000
1145,146000
1146,224000
1147,129000
1148,108959
1149,194000
1150,233170
1151,245350
1152,173000
1153,235000
1154,625000
1155,171000
1156,163000
1157,171900
1158,200500
1159,239000
1160,285000
1161,119500
1162,115000
1163,154900
1164,93000
1165,250000
1166,392500
1167,120000
1168,104900
1169,95000
1170,262000
1171,195000
1172,189000
1173,168000
1174,174000
1175,125000
1176,165000
1177,158000
1178,176000
1179,219210
1180,144000
1181,178000
1182,148000
1183,116050
1184,197900
1185,117000
1186,213000
1187,153500
1188,271900
1189,107000
1190,200000
1191,140000
1192,290000
1193,189000
1194,164000
1195,113000
1196,145000
1197,134500
1198,125000
1199,112000
1200,229456
1201,80500
1202,91500
1203,115000
1204,134000
1205,143000
1206,137900
1207,184000
1208,145000
1209,214000
1210,147000
1211,367294
1212,127000
1213,190000
1214,132500
1215,101800
1216,142000
1217,130000
1218,138887
1219,175500
1220,195000
1221,142500
1222,265900
1223,224900
1224,248328
1225,170000
1226,465000
1227,230000
1228,178000
1229,186500
1230,169900
1231,129500
1232,119000
1233,244000
1234,171750
1235,130000
1236,294000
1237,165400
1238,127500
1239,301500
1240,99900
1241,190000
1242,151000
1243,181000
1244,128900
1245,161500
1246,180500
1247,181000
1248,183900
1249,122000
1250,378500
1251,381000
1252,144000
1253,260000
1254,185750
1255,137000
1256,177000
1257,139000
1258,137000
1259,162000
1260,197900
1261,237000
1262,68400
1263,227000
1264,180000
1265,150500
1266,139000
1267,169000
1268,132500
1269,143000
1270,190000
1271,278000
1272,281000
1273,180500
1274,119500
1275,107500
1276,162900
1277,115000
1278,138500
1279,155000
1280,140000
1281,154000
1282,225000
1283,177500
1284,290000
1285,232000
1286,130000
1287,325000
1288,202500
1289,138000
1290,147000
1291,179200
1292,335000
1293,203000
1294,302000
1295,333168
1296,119000
1297,206900
1298,295493
1299,208900
1300,275000
1301,111000
1302,156500
1303,72500
1304,190000
1305,82500
1306,147000
1307,55000
1308,79000
1309,130500
1310,176500
1311,227000
1312,132500
1313,100000
1314,125500
1315,125000
1316,167900
1317,135000
1318,52500
1319,200000
1320,128500
1321,123000
1322,155000
1323,228500
1324,177000
1325,155835
1326,108500
1327,262500
1328,283463
1329,215000
1330,122000
1331,200000
1332,171000
1333,134900
1334,410000
1335,235000
1336,170000
1337,110000
1338,149900
1339,177500
1340,315000
1341,189000
1342,260000
1343,104900
1344,156932
1345,144152
1346,216000
1347,193000
1348,127000
1349,144000
1350,232000
1351,105000
1352,165500
1353,274300
1354,466500
1355,250000
1356,239000
1357,91000
1358,117000
1359,83000
1360,167500
1361,58500
1362,237500
1363,157000
1364,112000
1365,105000
1366,125500
1367,136000
1368,377500
1369,131000
1370,235000
1371,124000
1372,123000
1373,163000
1374,246578
1375,281213
1376,160000
1377,137500
1378,138000
1379,137450
1380,120000
1381,193000
1382,193879
1383,282922
1384,105000
1385,275000
1386,133000
1387,112000
1388,125500
1389,215000
1390,230000
1391,140000
1392,90000
1393,257000
1394,207000
1395,175900
1396,122500
1397,340000
1398,124000
1399,223000
1400,179900
1401,127500
1402,136500
1403,274970
1404,144000
1405,142000
1406,271000
1407,140000
1408,119000
1409,182900
1410,192140
1411,143750
1412,64500
1413,186500
1414,160000
1415,174000
1416,120500
1417,394617
1418,149700
1419,197000
1420,191000
1421,149300
1422,310000
1423,121000
1424,179600
1425,129000
1426,157900
1427,240000
1428,112000
1429,92000
1430,136000
1431,287090
1432,145000
1433,84500
1434,185000
1435,175000
1436,210000
1437,266500
1438,142125
1439,147500
